discounted_reward,final_state_type,free_space_estimate,git_commit_id,hist_validation_hash,i_run,median_planning_time,median_prediction_time,median_updater_time,n_close,n_steps,pi_key,planner_hbm_key,simulation_hbm_key,solver_setup_key,undiscounted_reward,combined_median_time,normalized_discounted_reward
-143.80936423256026,success,-19.02721317787414,dcdd3e8ad0162d692145134a64a0b81109e09d93,11002061584918016e3,783,0.004224121,0.011635049,0.010243055,6,31,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-151,0.026102225,-124.78215105468612
-109.16665819504259,success,-15.705680661607312,dcdd3e8ad0162d692145134a64a0b81109e09d93,11274953989920002e3,803,0.2548758635,0,0.009453963499999999,4,36,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-116,0.264329827,-93.46097753343527
-111.23507509397162,success,-15.705680661607312,dcdd3e8ad0162d692145134a64a0b81109e09d93,16511540215910541e3,803,0.004058355,0.012226533,0.009751139,4,39,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-119,0.026036027,-95.5293944323643
-37.64746051087996,success,-31.055091413092185,dcdd3e8ad0162d692145134a64a0b81109e09d93,14965754632623133e3,823,0.279125523,0,0.009884121,0,47,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-47,0.289009644,-6.592369097787774
-36.381451393612856,success,-31.055091413092185,dcdd3e8ad0162d692145134a64a0b81109e09d93,738065398097298800,823,0.004619055,0.012385794,0.010295701,0,45,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-45,0.027300550000000003,-5.326359980520671
-35.08973716315973,success,-28.226946740172476,dcdd3e8ad0162d692145134a64a0b81109e09d93,2789083346704244e3,843,0.278140652,0,0.009432799,0,43,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-43,0.287573451,-6.862790422987256
-34.43407794258559,success,-28.226946740172476,dcdd3e8ad0162d692145134a64a0b81109e09d93,17171818379708901e3,843,0.002214798,0.011896177,0.0096152955,0,42,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-42,0.0237262705,-6.2071312024131124
-67.01028974142633,success,-10.466174574128356,dcdd3e8ad0162d692145134a64a0b81109e09d93,10745959141508704e3,863,0.258237177,0,0.010016135,1,75,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-95,0.26825331199999997,-56.544115167297974
-47.965947734969305,success,-10.466174574128356,dcdd3e8ad0162d692145134a64a0b81109e09d93,5054895506040125e3,863,0.069663856,0.012224046,0.010111762,0,65,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-65,0.091999664,-37.499773160840945
-35.08973716315973,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,1454498263838709e4,883,0.266503483,0,0.009969536,0,43,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-43,0.276473019,-9.059774501987786
-31.055091413092182,success,-26.029962661171947,dcdd3e8ad0162d692145134a64a0b81109e09d93,12077839386670166e3,883,0.002504343,0.0137642,0.010995688,0,37,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-37,0.027264231,-5.025128751920235
-37.64746051087996,success,-15.705680661607312,dcdd3e8ad0162d692145134a64a0b81109e09d93,13722618630483608e3,903,0.24851605,0,0.010413647,0,47,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-47,0.258929697,-21.94177984927265
-46.90944570448863,success,-15.705680661607312,dcdd3e8ad0162d692145134a64a0b81109e09d93,1852072132955138600,903,0.024963457,0.011997334,0.010016552,0,63,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-63,0.046977343000000005,-31.203765042881322
-41.883358588189,success,-18.20930624027691,dcdd3e8ad0162d692145134a64a0b81109e09d93,11080043232912722e3,923,0.26044264500000003,0,0.0095277455,0,54,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-54,0.26997039050000005,-23.674052347912088
-28.226946740172473,success,-18.20930624027691,dcdd3e8ad0162d692145134a64a0b81109e09d93,9335097700281582e3,923,0.019462071,0.012420171,0.010142044,0,33,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-33,0.042024286,-10.017640499895563
-303.6324283132808,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,5956246376872646e3,943,0.335334214,0,0.009620044500000001,14,108,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-388,0.3449542585,-282.99385667764636
-113.87580755753477,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,14262686517216164e3,943,0.002365297,0.012279923,0.0094243345,4,54,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-134,0.024069554499999996,-93.23723592190032
-43.609480954761196,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,2355536698753295400,963,0.289311387,0,0.009932034,0,57,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-57,0.29924342099999995,-11.182385860789545
-48.48628825761961,success,-32.42709509397165,dcdd3e8ad0162d692145134a64a0b81109e09d93,6007045280197507e3,963,0.0101595595,0.0120952605,0.0098034655,0,66,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-66,0.0320582855,-16.05919316364796
-85.98030603772277,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,14035520721959668e3,983,0.2378570565,0,0.009302600000000001,3,62,CornerGoalsNonTrivial,_half_goals,_all_goals,POMCPOW,-122,0.2471596565,-65.34173440208832
-46.373177479281445,success,-20.63857163563444,dcdd3e8ad0162d692145134a64a0b81109e09d93,17595634363535292e3,983,0.052441518,0.012654644999999999,0.010034635,0,62,CornerGoalsNonTrivial,_half_goals,_all_goals,PSRP,-62,0.075130798,-25.734605843647003
